building_id	building_name	address	neighborhood	source_url	management_company	building_class	construction_type	rso_status	cat_friendly	package_handling	controlled_access	gym	pool	coworking	conference_room	ev_charging	rooftop	status	notes	last_updated
1600-vine-1600-vine-st	1600 Vine	1600 Vine St	Hollywood / Vine	https://www.1600vine.com/		Luxury high-rise			yes	yes	yes	yes	yes	yes	yes	yes	yes	rejected	Migrated from the prior breadth scan. Hard stop: management score 1 and quiet score 2. Sentral takeover in mid-2025 reportedly caused operational collapse.	2026-03-21
7950-west-sunset-7950-w-sunset-blvd	7950 West Sunset	7950 W Sunset Blvd, Los Angeles, CA 90046	West Hollywood / Sunset	https://7950westsunset.com/	Legacy Partners, Inc.	Luxury			yes	yes	unknown	yes	yes	yes	yes	unknown	yes	research_complete	7950 West Sunset is a strong on-paper match for essentials: dishwasher, in-unit washer/dryer, central AC, pool/spa, fitness studio, package concierge, conference/E-lounge work areas, subterranean parking, and pet-friendly terms are all visible in official or major-listing sources. The problem is noise. The address is directly on Sunset Boulevard in a highly active retail and nightlife corridor, and even the official neighborhood page sells the building on being steps from restaurants, shopping, and entertainment rather than on insulation from street activity. Management evidence is thin rather than clearly bad: Legacy Partners is publicly tied to the asset, the official site offers guided tours with on-site staff, and RentCafe shows a positive but very small 4-review signal. Pricing transparency is better than average because the official floor-plan page discloses that displayed prices exclude mandatory charges and the major listing sites publish application and pet fees, but the final fee stack is still not fully self-serve. Given your quiet-first priority, this looks like a unit-specific research_complete building, not a clean tour_candidate, unless a rear-facing stack proves notably insulated from Sunset.	2026-03-25
ava-hollywood-la-pietra-6677-w-santa-monica-blvd	AVA Hollywood at La Pietra Place	6677 W Santa Monica Blvd	Hollywood / Santa Monica	https://www.avaloncommunities.com/california/los-angeles-apartments/ava-hollywood-at-la-pietra-place/		Luxury mid-rise			yes	yes	yes	yes	yes			yes		rejected	Migrated from the prior breadth scan. Skip. Structural floor/ceiling sound defect was reported as confirmed across two platforms; Yelp rating note captured in legacy docs.	2026-03-21
avalon-west-hollywood-7316-santa-monica-blvd	Avalon West Hollywood	7316 Santa Monica Blvd, West Hollywood, CA 90046	West Hollywood	https://www.avaloncommunities.com/california/west-hollywood-apartments/avalon-west-hollywood/	AvalonBay Communities	mid-rise	unknown	unknown	yes	unknown	unknown	yes	yes	unknown	unknown	yes	yes	research_complete	Avalon West Hollywood is one of the stronger management and service bets in this set. Official materials plus review aggregators support mature operations, digital package lockers, smart access entry, in-unit laundry, covered parking, and a large amenity stack. The catch is your top priority: this is a 294-unit mixed-use building on Santa Monica Boulevard with on-site retail and a rooftop terrace and pool, so location noise is meaningfully riskier than quieter side-street options. Pricing is fairly transparent but not fully simple, because mandatory Connect+ internet and smart-tech charges add $111 per month before parking or pet costs.	2026-03-25
columbia-square-living-1550-n-el-centro-ave	Columbia Square Living	1550 N El Centro Ave, Los Angeles, CA 90028	Hollywood	https://www.columbiasquareliving.com/	Greystar California, Inc. dba Greystar Corp.; Kilroy Realty asset management/owner context	high-rise	unknown	unknown	yes	unknown	yes	yes	yes	unknown	yes	yes	yes	tour_candidate	Strong official amenity and fee disclosure, and the essentials match well: in-unit washer/dryer, dishwasher, AC, garage parking, pet-friendly policy, concierge, secured elevators, and pool/deck. Quiet is the main tradeoff: the building sits on an active Hollywood campus, Kilroy describes outdoor plaza events including live music, and the site also includes public parking. Structural noise risk looks better than average because the tower was built as a Type I concrete high-rise. Management signal is mixed: Apartments.com shows a strong 4.8/5 blended score from 13 renter reviews, but a 2024 resident petition objected to valet removal and Birdeye surfaces lower Google review sentiment plus a serious but unverified anecdotal security complaint. That conflict lowers management confidence and keeps this in tour-first territory rather than a clean lock.	2026-03-25
crescent-at-west-hollywood-1274-n-crescent-heights-blvd	Crescent at West Hollywood	1274 N Crescent Heights Blvd, West Hollywood, CA 90046	West Hollywood	https://www.thecrescentapts.com/	Apartment Management Consultants	unknown			yes		yes	yes	yes	unknown	unknown	unknown	unknown	candidate	Current listings support cats, controlled access, underground parking, parcel lockers, pool, gym and in-unit laundry at relatively accessible West Hollywood entry pricing. ([Zillow][12])	2026-04-05
domain-west-hollywood-7141-santa-monica-blvd	Domain West Hollywood	7141 Santa Monica Blvd, West Hollywood, CA 90046	West Hollywood	https://domainweho.com/	Sares Regis	Luxury mid-rise	unknown	unknown	yes	yes	yes	yes	yes	unknown	unknown	yes	yes	rejected	Migrated from the prior breadth scan. Skip. Structural noise defect, multiple management transitions, and a move-in-readiness issue were already noted. | Official site and Apartments.com confirm parcel lockers, controlled access, gated garage parking, pool, fitness center, and EV charging; coworking and conference space are not clearly disclosed in current public materials.	2026-03-22
el-centro-apartments-and-bungalows-6200-hollywood-blvd	El Centro Apartments & Bungalows	6200 Hollywood Blvd, Los Angeles, CA 90028	Hollywood	https://www.elcentrohollywood.com/	APT Residential LLC	mid-rise	unknown	unknown	unknown	unknown	yes	yes	yes	unknown	unknown	unknown	unknown	research_complete	El Centro is unusually promising for a Hollywood core address because the site spans a full block, the official marketing leans hard on gardens and internal amenity space, and one recent resident review specifically describes the property as calm and private once inside. At the same time, this is a very large 507-unit community directly by Hollywood and Vine, so the outside environment is still noisy and operational complexity is real. The best public resident signal is mixed: Birdeye shows a large review corpus with both praise for staff and cleanliness and sharp complaints about security and exit-gate issues. Amenities are excellent and cat terms are now publicly confirmable, but package handling and the full monthly fee stack still need direct verification.	2026-03-25
element-weho-1425-n-crescent-heights-blvd	Element WeHo	1425 N Crescent Heights Blvd, West Hollywood, CA 90046	West Hollywood	https://www.elementweho.com/	Moss & Company	Luxury	unknown	unknown	yes	yes	yes	yes	yes	unknown	unknown	unknown	unknown	research_complete	Element WeHo is one of the stronger paper fits on essentials. Official and major-listing sources align on in-unit washer/dryer, dishwasher, AC, package concierge, controlled access or gated entry, garage parking, pool, gym, pet-friendly policy, and larger floor plans with dedicated office or den space. The issue is noise, not utility. The building is openly described as sitting right at Crescent Heights and Sunset with the action of West Hollywood at your doorstep, which is great for access but a meaningful quiet risk for street-facing units. Management evidence is thinner than the amenity evidence: Moss & Company is clearly disclosed, a property manager is listed on site, and the building looks professionally merchandised, but strong public resident-review depth did not surface in the retrieved sources. Because the basics are so good, this is not a reject, but the location exposure and missing EV or fee clarity keep it in research_complete rather than tour_candidate status until unit-specific details are verified.	2026-03-25
hanover-hollywood-6200-w-sunset-blvd	Hanover Hollywood	6200 W Sunset Blvd, Los Angeles, CA 90028	Hollywood	https://www.hanoverhollywood.com/	Hanover Company / HRS Property Management Inc.	unknown	unknown	unknown	yes	unknown	yes	yes	yes	yes	unknown	yes	yes	research_complete	Hanover Hollywood is one of the stronger amenity and operations packages on paper, with coworking-style space, package service, controlled access, video patrol, key fob entry, in-unit laundry, and a large body of resident reviews. The main issue for this search is quiet. The property sits directly on Sunset near Hollywood and Vine, Apartments.com tags the location as Busy with a 67 SoundScore, and the building itself markets rooftop skydecks and an indoor or outdoor theater. Management signals are better than average because the review base is large and there is an on-site manager, but pricing clarity is only partial because Apartments.com warns fees may exclude some charges and BBB shows at least one complaint alleging a quoted rent jumped by roughly $400 within hours.	2026-03-25
