unit_id,building_id,unit_number,listing_url,bedrooms,bathrooms,sqft,base_rent,concession_value_total,lease_term_months,available_date,application_fee,admin_fee,security_deposit,parking_cost,pet_rent,estimated_utilities,balcony,in_unit_laundry,dishwasher,central_ac,natural_light,closet_storage,exact_unit_shown,exposure,nearest_noise_source,net_effective_rent,true_monthly_cost,tour_status,notes,last_updated
7950-west-sunset-7950-w-sunset-blvd--227,7950-west-sunset-7950-w-sunset-blvd,227,https://www.zillow.com/apartments/los-angeles-ca/7950-west-sunset/5Xk5Bj/,0,1,604,2490,,,2026-04-05,,,,,25,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official site floorplans page did not expose live inventory in parsed HTML, so availability was taken from Zillow building page. Zillow listed unit 227 as available now at 2490 for a studio, 1 bath, 604 sqft. Official site and Apartments.com confirm central AC and in-unit washer and dryer; balcony is select-unit only, so left unknown for this exact unit.",2026-04-05
aka-8500-sunset-8500-sunset-blvd--E807,aka-8500-sunset-8500-sunset-blvd,E807,https://www.apartments.com/aka-west-hollywood-apartment-residences-west-hollywood-ca/x4brlmm/,0,1,607,5000,,,2026-04-05,40,,,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Exact unit, rent, sqft, and availability from current Apartments.com listing. This is the only studio or 1BR currently surfaced at or near the stretch budget cutoff. Current 1BR units on Apartments.com were E405 at 5635 and E201 at 5685 base rent, which were excluded for being above the 5328 all-in plausibility screen before recurring fees. Apartments.com confirms washer/dryer, air conditioning, and dishwasher. Cats are allowed and the application fee is 40 per applicant. Parsed fee content did not cleanly expose a unit-specific monthly parking charge or apartment security deposit, so those fields are blank.",2026-04-05
archer_hollywood--231,archer_hollywood,231,https://www.apartments.com/archer-hollywood-los-angeles-ca/zrmncdx/,0,1,626,2280,,,2026-04-05,58,,1000,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official Archer site advertised specials but did not expose a parsed exact unit table. Exact unit rows came from Apartments.com live inventory, with RentCafe used to corroborate application fee, deposit, and core unit amenities. No exact unit-level concession amount was isolated.",2026-04-05
archer_hollywood--331,archer_hollywood,331,https://www.apartments.com/archer-hollywood-los-angeles-ca/zrmncdx/,0,1,626,2290,,,2026-04-05,58,,1000,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official Archer site advertised specials but did not expose a parsed exact unit table. Exact unit rows came from Apartments.com live inventory, with RentCafe used to corroborate application fee, deposit, and core unit amenities. No exact unit-level concession amount was isolated.",2026-04-05
archer_hollywood--431,archer_hollywood,431,https://www.apartments.com/archer-hollywood-los-angeles-ca/zrmncdx/,0,1,626,2350,,,2026-04-05,58,,1000,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official Archer site advertised specials but did not expose a parsed exact unit table. Exact unit rows came from Apartments.com live inventory, with RentCafe used to corroborate application fee, deposit, and core unit amenities. No exact unit-level concession amount was isolated.",2026-04-05
archer_hollywood--235,archer_hollywood,235,https://www.apartments.com/archer-hollywood-los-angeles-ca/zrmncdx/,0,1,750,2715,,,2026-04-05,58,,1000,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official Archer site advertised specials but did not expose a parsed exact unit table. Exact unit rows came from Apartments.com live inventory, with RentCafe used to corroborate application fee, deposit, and core unit amenities. No exact unit-level concession amount was isolated.",2026-04-05
archer_hollywood--112,archer_hollywood,112,https://www.apartments.com/archer-hollywood-los-angeles-ca/zrmncdx/,0,1,562,2095,,,2026-04-10,58,,1000,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official Archer site advertised specials but did not expose a parsed exact unit table. Exact unit rows came from Apartments.com live inventory, with RentCafe used to corroborate application fee, deposit, and core unit amenities. No exact unit-level concession amount was isolated.",2026-04-05
archer_hollywood--505,archer_hollywood,505,https://www.apartments.com/archer-hollywood-los-angeles-ca/zrmncdx/,0,1,601,2220,,,2026-04-20,58,,1000,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official Archer site advertised specials but did not expose a parsed exact unit table. Exact unit rows came from Apartments.com live inventory, with RentCafe used to corroborate application fee, deposit, and core unit amenities. No exact unit-level concession amount was isolated.",2026-04-05
archer_hollywood--219,archer_hollywood,219,https://www.apartments.com/archer-hollywood-los-angeles-ca/zrmncdx/,1,1,628,2320,,,2026-04-05,58,,1000,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official Archer site advertised specials but did not expose a parsed exact unit table. Exact unit rows came from Apartments.com live inventory, with RentCafe used to corroborate application fee, deposit, and core unit amenities. No exact unit-level concession amount was isolated.",2026-04-05
archer_hollywood--319,archer_hollywood,319,https://www.apartments.com/archer-hollywood-los-angeles-ca/zrmncdx/,1,1,628,2350,,,2026-04-05,58,,1000,,,,unknown,yes,yes,yes,unknown,unknown,unknown,,,,,,"Official Archer site advertised specials but did not expose a parsed exact unit table. Exact unit rows came from Apartments.com live inventory, with RentCafe used to corroborate application fee, deposit, and core unit amenities. No exact unit-level concession amount was isolated.",2026-04-05
